ts,session,callsign,icao24,lat,lon,alt_ft,speed_kts,heading_deg,vs_fpm,flight_state,risk_level,prob_success,best_cell_prob,best_cell_color,best_cell_dist_nm,n_green_cells,n_yellow_cells,n_red_cells,top_option,wx_source,wx_confidence,wx_ceiling_ft,wx_wind_kts,wx_wind_dir_deg,wx_visibility_sm,terrain_live,tick_ms,n_runways_near,crowd_ready,runway_ready
2026-04-10T10:23:42Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.481404,-81.301198,2025,213.7,15.47,,,CRITICAL,0.109,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,1799,0,False,False
2026-04-10T10:23:42Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,665,0,False,False
2026-04-10T10:23:44Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,612,0,False,False
2026-04-10T10:23:44Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.487228,-81.300201,2100,228.3,3.01,,,CRITICAL,0.098,0.872,#2cb64f,2.42,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,1394,0,False,False
2026-04-10T10:23:46Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,954,0,False,False
2026-04-10T10:23:48Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.487228,-81.300201,2100,228.3,3.01,,,CRITICAL,0.098,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,1682,0,False,False
2026-04-10T10:23:49Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,634,0,False,False
2026-04-10T10:23:50Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.493973,-81.300605,2250,237.9,352.76,,,CRITICAL,0.095,0.865,#2cb64f,2.42,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,False,615,0,False,False
2026-04-10T10:23:51Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,623,0,False,False
2026-04-10T10:23:52Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.493973,-81.300605,2250,237.9,352.76,,,CRITICAL,0.095,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,628,0,False,False
2026-04-10T10:23:53Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,645,0,False,False
2026-04-10T10:23:54Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.493973,-81.300605,2250,237.9,352.76,,,CRITICAL,0.095,0.865,#2cb64f,2.42,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,False,819,0,False,False
2026-04-10T10:23:55Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,651,0,False,False
2026-04-10T10:23:56Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.500687,-81.301997,2425,247.7,347.65,,,CRITICAL,0.093,0.879,#2cb64f,1.92,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,630,0,False,False
2026-04-10T10:23:58Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.500687,-81.301997,2425,247.7,347.65,,,CRITICAL,0.093,0.879,#2cb64f,1.92,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,614,0,False,False
2026-04-10T10:23:59Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,2233,0,False,False
2026-04-10T10:24:01Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.500687,-81.301997,2425,247.7,347.65,,,CRITICAL,0.093,0.879,#2cb64f,1.92,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,658,0,False,False
2026-04-10T10:24:01Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,618,0,False,False
2026-04-10T10:24:03Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.508102,-81.304057,2600,255.4,345.26,,,CRITICAL,0.093,0.886,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,629,0,False,False
2026-04-10T10:24:03Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,682,0,False,False
2026-04-10T10:24:05Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.508102,-81.304057,2600,255.4,345.26,,,CRITICAL,0.093,0.886,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,624,0,False,False
2026-04-10T10:24:07Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,2032,0,False,False
2026-04-10T10:24:07Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.508102,-81.304057,2775,260.6,344.42,,,CRITICAL,0.096,0.886,#2cb64f,1.75,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,610,0,False,False
2026-04-10T10:24:09Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.514099,-81.305959,2775,260.6,344.42,,,CRITICAL,0.096,0.924,#2cb64f,0.3,28,53,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,False,636,0,False,False
2026-04-10T10:24:11Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,2906,0,False,False
2026-04-10T10:24:13Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,616,0,False,False
2026-04-10T10:24:15Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,625,0,False,False
2026-04-10T10:24:16Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.514099,-81.305959,3075,262,344.96,,,CRITICAL,0.107,0.872,#2cb64f,2.24,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,5559,0,False,False
2026-04-10T10:24:17Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,626,0,False,False
2026-04-10T10:24:18Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.521149,-81.308124,3075,262,344.96,,,CRITICAL,0.107,0.877,#2cb64f,2.19,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,609,0,False,False
2026-04-10T10:24:20Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,1234,0,False,False
2026-04-10T10:24:20Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.521149,-81.308124,3075,262,344.96,,,CRITICAL,0.107,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,639,0,False,False
2026-04-10T10:24:23Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,1210,0,False,False
2026-04-10T10:24:23Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.521149,-81.308124,3075,262,344.96,,,CRITICAL,0.107,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,True,939,0,False,False
2026-04-10T10:24:25Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.521149,-81.308124,3075,262,344.96,,,CRITICAL,0.107,0.924,#2cb64f,0.3,28,53,0,PRIMARY,open-meteo,approx,,5.3,24,15.22,False,619,0,False,False
2026-04-10T10:24:26Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,1660,0,False,False
2026-04-10T10:24:28Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,657,0,False,False
2026-04-10T10:24:30Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,3146,0,False,False
2026-04-10T10:24:30Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,733,0,False,False
2026-04-10T10:24:33Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,865,0,False,False
2026-04-10T10:24:33Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,1945,0,False,False
2026-04-10T10:24:35Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,630,0,False,False
2026-04-10T10:24:35Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,False,618,0,False,False
2026-04-10T10:24:37Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,623,0,False,False
2026-04-10T10:24:37Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.924,#2cb64f,0.3,28,53,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,False,623,0,False,False
2026-04-10T10:24:39Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,667,0,False,False
2026-04-10T10:24:41Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.924,#2cb64f,0.3,28,53,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,False,1933,0,False,False
2026-04-10T10:24:41Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,611,0,False,False
2026-04-10T10:24:43Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,633,0,False,False
2026-04-10T10:24:43Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,631,0,False,False
2026-04-10T10:24:45Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,645,0,False,False
2026-04-10T10:24:46Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,60,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,1620,0,False,False
2026-04-10T10:24:47Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,3725,266.1,346.75,,,CRITICAL,0.136,0.884,#2cb64f,1.08,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,616,0,False,False
2026-04-10T10:24:49Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,629,0,False,False
2026-04-10T10:24:51Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,627,0,False,False
2026-04-10T10:24:53Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,623,0,False,False
2026-04-10T10:24:54Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.537174,-81.312669,5000,273.2,347.74,,,HIGH,0.212,0.924,#2cb64f,2.21,81,0,0,PRIMARY,open-meteo,approx,,5.1,23,14.35,True,5578,0,False,False
2026-04-10T10:24:55Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,599,0,False,False
2026-04-10T10:24:56Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,699,0,False,False
2026-04-10T10:24:59Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,622,0,False,False
2026-04-10T10:25:01Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,633,0,False,False
2026-04-10T10:25:03Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,660,0,False,False
2026-04-10T10:25:05Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,744,0,False,False
2026-04-10T10:25:07Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,590,0,False,False
2026-04-10T10:25:09Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,628,0,False,False
2026-04-10T10:25:11Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,606,0,False,False
2026-04-10T10:25:19Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,5549,0,False,False
2026-04-10T10:25:21Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,642,0,False,False
2026-04-10T10:25:23Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,708,0,False,False
2026-04-10T10:25:25Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,631,0,False,False
2026-04-10T10:25:27Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,600,0,False,False
2026-04-10T10:25:29Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,613,0,False,False
2026-04-10T10:25:31Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,667,0,False,False
2026-04-10T10:25:33Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,605,0,False,False
2026-04-10T10:25:36Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,1496,0,False,False
2026-04-10T10:25:39Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,611,0,False,False
2026-04-10T10:25:41Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,602,0,False,False
2026-04-10T10:25:43Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.568224,-81.32037,5000,273.2,347.74,,,HIGH,0.212,0.866,#2cb64f,1.5,81,0,0,PRIMARY,open-meteo,approx,,4.8,21,13.17,True,615,0,False,False
